Epoch,Train Loss,Train Total MSE,Train Ux MSE,Train Uy MSE,Test Loss,Test Total MSE,Test Ux MSE,Test Uy MSE
1,6294908.712890625,154.38059686309663,24.156271464789093,130.22432568298643,1238125.64453125,121.45852440981129,9.65551103525494,111.80301123471996
2,5420978.7734375,132.94774895283714,10.955549410919645,121.99220283470343,1182742.875,116.0255567256491,9.199263795691342,106.82629413509844
3,5235910.01171875,128.40899946677743,9.843534336754338,118.56546555704145,1158883.3291015625,113.68495751376176,8.694988241243125,104.98997045868072
4,5106532.5986328125,125.23605889467457,9.290987318428002,115.94507067476339,1114123.2265625,109.29404172375428,8.16641571272665,101.12762299343129
5,4956919.646484375,121.56685448641801,8.57117130981749,112.99568274958217,1119699.876953125,109.8411122032659,7.420111575529943,102.42100486945156
6,4862940.72265625,119.26204806655201,7.757061374721243,111.5049854487329,1167930.9487304688,114.57251117004091,6.730141983696478,107.84237519069691
7,5022401.8037109375,123.17277747007152,7.510294958133603,115.66248435404763,1133160.625,111.16158947541346,6.48014544966209,104.68144590463211
8,4959058.26171875,121.61930004518423,6.634069058432508,114.98523040315997,1068951.9936523438,104.86281134002837,6.305452007559402,98.55735292956604
9,4466450.76953125,109.53826194497483,6.341934298994529,103.19632421085491,872295.2607421875,85.57103566032144,5.960209552328385,79.61082913982334
10,3870042.0703125,94.9115281745569,5.771453368723096,89.14007462079252,820596.2551269531,80.49942555593614,5.617805820199387,74.88162307359686
